title,extended_title,img_link,gsmarena_link
Pixel 6 Pro,"Google Pixel 6 Pro Android smartphone. Announced Oct 2021. Features 6.7″  display, Google Tensor chipset, 5003 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6-pro.jpg,https://www.gsmarena.com/google_pixel_6_pro-10918.php
Pixel 6,"Google Pixel 6 Android smartphone. Announced Oct 2021. Features 6.4″  display, Google Tensor chipset, 4614 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6.jpg,https://www.gsmarena.com/google_pixel_6-11037.php
Pixel 5a 5G,"Google Pixel 5a 5G Android smartphone. Announced Aug 2021. Features 6.34″  display, Snapdragon 765G 5G chipset, 4680 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5a-5g.jpg,https://www.gsmarena.com/google_pixel_5a_5g-11059.php
Pixel 5,"Google Pixel 5 Android smartphone. Announced Sep 2020. Features 6.0″  display, Snapdragon 765G 5G chipset, 4080 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5-5g.jpg,https://www.gsmarena.com/google_pixel_5-10386.php
Pixel 4a 5G,"Google Pixel 4a 5G Android smartphone. Announced Sep 2020. Features 6.2″  display, Snapdragon 765G 5G chipset, 3885 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a-5g.jpg,https://www.gsmarena.com/google_pixel_4a_5g-10385.php
Pixel 4a,"Google Pixel 4a Android smartphone. Announced Aug 2020. Features 5.81″  display, Snapdragon 730G chipset, 3140 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a.jpg,https://www.gsmarena.com/google_pixel_4a-10123.php
Pixel 4 XL,"Google Pixel 4 XL Android smartphone. Announced Oct 2019. Features 6.3″  display, Snapdragon 855 chipset, 3700 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg,https://www.gsmarena.com/google_pixel_4_xl-9895.php
Pixel 4,"Google Pixel 4 Android smartphone. Announced Oct 2019. Features 5.7″  display, Snapdragon 855 chipset, 2800 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg,https://www.gsmarena.com/google_pixel_4-9896.php
Pixel 3a XL,"Google Pixel 3a XL Android smartphone. Announced May 2019. Features 6.0″  display, Snapdragon 670 chipset, 3700 mAh battery, 64 GB storage, 4 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a-xl-.jpg,https://www.gsmarena.com/google_pixel_3a_xl-9690.php
Pixel 3a,"Google Pixel 3a Android smartphone. Announced May 2019. Features 5.6″  display, Snapdragon 670 chipset, 3000 mAh battery, 64 GB storage, 4 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a.jpg,https://www.gsmarena.com/google_pixel_3a-9408.php
Pixel 3 XL,"Google Pixel 3 XL Android smartphone. Announced Oct 2018. Features 6.3″  display, Snapdragon 845 chipset, 3430 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3xl-.jpg,https://www.gsmarena.com/google_pixel_3_xl-9257.php
Pixel 3,"Google Pixel 3 Android smartphone. Announced Oct 2018. Features 5.5″  display, Snapdragon 845 chipset, 2915 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3-.jpg,https://www.gsmarena.com/google_pixel_3-9256.php
Pixel 2,"Google Pixel 2 Android smartphone. Announced Oct 2017. Features 5.0″  display, Snapdragon 835 chipset, 12.2 MP primary camera, 8 MP front camera, 2700 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-2.jpg,https://www.gsmarena.com/google_pixel_2-8733.php
Pixel 2 XL,"Google Pixel 2 XL Android smartphone. Announced Oct 2017. Features 6.0″  display, Snapdragon 835 chipset, 12.2 MP primary camera, 8 MP front camera, 3520 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl2-.jpg,https://www.gsmarena.com/google_pixel_2_xl-8720.php
Pixel XL,"Google Pixel XL Android smartphone. Announced Oct 2016. Features 5.5″  display, Snapdragon 821 chipset, 12.3 MP primary camera, 8 MP front camera, 3450 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 4.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl.jpg,https://www.gsmarena.com/google_pixel_xl-8345.php
Pixel,"Google Pixel Android smartphone. Announced Oct 2016. Features 5.0″  display, Snapdragon 821 chipset, 12.3 MP primary camera, 8 MP front camera, 2770 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 4.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel.jpg,https://www.gsmarena.com/google_pixel-8346.php
Pixel C,"Google Pixel C Android tablet. Announced Sep 2015. Features 10.2″  display, Nvidia Tegra X1 chipset, 8 MP primary camera, 2 MP front camera, 9240 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/google-pixel-c--.jpg,https://www.gsmarena.com/google_pixel_c-7826.php
